"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/bumshak.d:8593","Leichte Milizrüstung","Leichte Milizrüstung","","","itar_mil_l.name","",""
"Scripts/Content/bumshak.d:8619","Ritterrüstung","Ritterrüstung","","","itar_pal_m.name","",""
"Scripts/Content/bumshak.d:8645","Paladinrüstung","Paladinrüstung","","","itar_pal_h.name","",""
"Scripts/Content/bumshak.d:8671","Leichte Drachenjägerrüstung","Leichte Drachenjägerrüstung","","","itar_djg_l.name","",""
"Scripts/Content/bumshak.d:8697","Mittlere Drachenjägerrüstung","Mittlere Drachenjägerrüstung","","","itar_djg_m.name","",""
"Scripts/Content/bumshak.d:8723","Rüstung eines Orkjägers","Rüstung eines Orkjägers","","","itar_ojg.name","",""
"Scripts/Content/bumshak.d:8751","Apfel","Apfel","","","itfo_apple.name","",""
"Scripts/Content/bumshak.d:8762","Käse","Käse","","","itfo_cheese.name","",""
"Scripts/Content/bumshak.d:8773","Schinken","Schinken","","","itfo_bacon.name","",""
"Scripts/Content/bumshak.d:8784","Brot","Brot","","","itfo_bread.name","",""
"Scripts/Content/bumshak.d:8795","Fisch","Fisch","","","itfo_fish.name","",""
"Scripts/Content/bumshak.d:8806","Rohes Fleisch","Rohes Fleisch","","","itfo_muttonraw.name","",""
"Scripts/Content/bumshak.d:8817","Gebratenes Fleisch","Gebratenes Fleisch","","","itfo_mutton.name","",""
"Scripts/Content/bumshak.d:8828","Eintopf","Eintopf","","","itfo_stew.name","",""
"Scripts/Content/bumshak.d:8839","Fischsuppe","Fischsuppe","","","itfo_fishsoup.name","",""
"Scripts/Content/bumshak.d:8850","Wurst","Wurst","","","itfo_sausage.name","",""
"Scripts/Content/bumshak.d:8861","Honig","Honig","","","itfo_honey.name","",""
"Scripts/Content/bumshak.d:8872","Wasser","Wasser","","","itfo_water.name","",""
"Scripts/Content/bumshak.d:8883","Bier","Bier","","","itfo_beer.name","",""
"Scripts/Content/bumshak.d:8894","Wacholder","Wacholder","","","itfo_booze.name","",""
"Scripts/Content/bumshak.d:8905","Wein","Wein","","","itfo_wine.name","",""
"Scripts/Content/bumshak.d:8916","Milch","Milch","","","itfo_milk.name","",""
"Scripts/Content/bumshak.d:8927","Grog","Grog","","","itfo_addon_grog.name","",""
"Scripts/Content/bumshak.d:8934","Echter Seemanns Grog","Echter Seemanns Grog","","","itfo_addon_grog.description","",""
"Scripts/Content/bumshak.d:9066","Schwerer Ast","Schwerer Ast","","","itmw_1h_bau_mace.name","",""
"Scripts/Content/bumshak.d:9086","Spitzhacke","Spitzhacke","","","itmw_2h_axe_l_01.name","",""
"Scripts/Content/bumshak.d:9105","Grobes Breitschwert","Grobes Breitschwert","","","itmw_1h_mil_sword.name","",""
"Scripts/Content/bumshak.d:9125","Krush Pach","Krush Pach","","","itmw_2h_orcaxe_01.name","",""
"Scripts/Content/bumshak.d:9144","Krush UrRok","Krush UrRok","","","itmw_2h_orcaxe_02.name","",""
"Scripts/Content/bumshak.d:9163","Krush Agash","Krush Agash","","","itmw_2h_orcaxe_03.name","",""
"Scripts/Content/bumshak.d:9182","Krush BrokDar","Krush BrokDar","","","itmw_2h_orcaxe_04.name","",""
"Scripts/Content/bumshak.d:9201","Krush Karrok","Krush Karrok","","","itmw_2h_orcaxe_05.name","",""
"Scripts/Content/bumshak.d:9220","Krush Varrok","Krush Varrok","","","itmw_2h_orcsword_01.name","",""
"Scripts/Content/bumshak.d:9239","Bash BrokDar","Bash BrokDar","","","itmw_2h_orcsword_02.name","",""
"Scripts/Content/bumshak.d:9258","Leichter Zweihänder","Leichter Zweihänder","","","itmw_2h_01.name","",""
"Scripts/Content/bumshak.d:9277","Zweihänder","Zweihänder","","","itmw_2h_02.name","",""
"Scripts/Content/bumshak.d:9296","Paladin Zweihänder","Paladin Zweihänder","","","itmw_2h_03.name","",""
"Scripts/Content/bumshak.d:9315","Schwerer Zweihänder","Schwerer Zweihänder","","","itmw_2h_04.name","",""
"Scripts/Content/bumshak.d:9334","Schlachtenklinge","Schlachtenklinge","","","itmw_2h_05.name","",""
"Scripts/Content/bumshak.d:9353","Leichte Streitaxt","Leichte Streitaxt","","","itmw_2h_axe_01.name","",""
"Scripts/Content/bumshak.d:9372","Streitaxt","Streitaxt","","","itmw_2h_axe_02.name","",""
"Scripts/Content/bumshak.d:9391","Schwere Streitaxt","Schwere Streitaxt","","","itmw_2h_axe_03.name","",""
"Scripts/Content/bumshak.d:9410","Kriegsaxt","Kriegsaxt","","","itmw_2h_axe_04.name","",""
"Scripts/Content/bumshak.d:9429","Krautstampfer","Krautstampfer","","","itmi_stomper.name","",""
"Scripts/Content/bumshak.d:9439","Runenstein","Runenstein","","","itmi_runeblank.name","",""
"Scripts/Content/bumshak.d:9449","Laborwasserflasche","Laborwasserflasche","","","itmi_flask.name","",""
"Scripts/Content/bumshak.d:9459","Hammer","Hammer","","","itmi_hammer.name","",""
"Scripts/Content/bumshak.d:9469","Kochlöffel","Kochlöffel","","","itmi_scoop.name","",""
"Scripts/Content/bumshak.d:9479","Pfanne","Pfanne","","","itmi_pan.name","",""
"Scripts/Content/bumshak.d:9489","Pfanne","Pfanne","","","itmi_panfull.name","",""
"Scripts/Content/bumshak.d:9499","Säge","Säge","","","itmi_saw.name","",""
"Scripts/Content/bumshak.d:9509","Rohstahl","Rohstahl","","","itmiswordraw.name","",""
"Scripts/Content/bumshak.d:9519","Glühender Stahl","Glühender Stahl","","","itmiswordrawhot.name","",""
"Scripts/Content/bumshak.d:9529","Glühende Klinge","Glühende Klinge","","","itmiswordbladehot.name","",""
"Scripts/Content/bumshak.d:9539","Klinge","Klinge","","","itmiswordblade.name","",""
"Scripts/Content/bumshak.d:9549","Besen","Besen","","","itmi_broom.name","",""
"Scripts/Content/bumshak.d:9560","Laute","Laute","","","itmi_lute.name","",""
"Scripts/Content/bumshak.d:9571","Bürste","Bürste","","","itmi_brush.name","",""
"Scripts/Content/bumshak.d:9582","Ein Stengel Sumpfkraut","Ein Stengel Sumpfkraut","","","itmi_joint.name","",""
"Scripts/Content/bumshak.d:9594","Horn","Horn","","","itmi_horn.name","",""
"Scripts/Content/bumshak.d:9605","Gold","Gold","","","itmi_gold.name","",""
"Scripts/Content/bumshak.d:9618","Alte Münze","Alte Münze","","","itmi_oldcoin.name","",""
"Scripts/Content/bumshak.d:9629","Heilpflanze","Heilpflanze","","","itpl_herb.name","",""
"Scripts/Content/bumshak.d:9640","Gash-Paks Axt","Gash-Paks Axt","","","itmw_2h_gashpaksaxe.name","",""
"Scripts/Content/bumshak.d:9659","Krallen","Krallen","","","itat_claw.name","",""
"Scripts/Content/bumshak.d:9669","Zähne","Zähne","","","itat_teeth.name","",""
"Scripts/Content/bumshak.d:9679","Minecrawlerzangen","Minecrawlerzangen","","","itat_crawlermandibles.name","",""
"Scripts/Content/bumshak.d:9689","Kulu-Mulu","Kulu-Mulu","","","itmw_2h_orcprestige.name","",""
"Scripts/Content/bumshak.d:9701","Das Kulu-Mulu ist ein Zeichen großer Stärke und","Das Kulu-Mulu ist ein Zeichen großer Stärke und","","","itmw_2h_orcprestige.text","",""
"Scripts/Content/bumshak.d:9702","Würde. Der Träger dieser Standarte wurde in den","Würde. Der Träger dieser Standarte wurde in den","","","itmw_2h_orcprestige.text[1]","",""
"Scripts/Content/bumshak.d:9703","Stand der Krieger erhoben.","Stand der Krieger erhoben.","","","itmw_2h_orcprestige.text[2]","",""
"Scripts/Content/bumshak.d:9711","Horn eines Schattenläufers","Horn eines Schattenläufers","","","itat_shadowhorn.name","",""
"Scripts/Content/bumshak.d:9721","Schafsfell","Schafsfell","","","itat_sheepfur.name","",""
"Scripts/Content/bumshak.d:9731","Glücksbringer","Glücksbringer","","","itmi_gluecksbringer.name","",""
"Scripts/Content/bumshak.d:9740","Dieser Glücksbringer läßt seinen","Dieser Glücksbringer läßt seinen","","","itmi_gluecksbringer.text","",""
"Scripts/Content/bumshak.d:9741","Träger in der Schlacht niemals","Träger in der Schlacht niemals","","","itmi_gluecksbringer.text[1]","",""
"Scripts/Content/bumshak.d:9742","mutlos sein.","mutlos sein.","","","itmi_gluecksbringer.text[2]","",""
"Scripts/Content/bumshak.d:9747","Ring der Kriegsherren","Ring der Kriegsherren","","","itri_orcelitering.name","",""
"Scripts/Content/bumshak.d:9763","Orkische Rüstung","Orkische Rüstung","","","itar_orc.name","",""
"Scripts/Content/bumshak.d:9781","Schlummerfell","Schlummerfell","","","itmi_schlummerfell.name","",""
"Scripts/Content/bumshak.d:9789","Hiermit kannst du in sicheren","Hiermit kannst du in sicheren","","","itmi_schlummerfell.text[2]","",""
"Scripts/Content/bumshak.d:9790","Gebäuden schlafen.","Gebäuden schlafen.","","","itmi_schlummerfell.text[3]","",""
"Scripts/Content/bumshak.d:9811","Drachen-Ei","Drachen-Ei","","","itmi_dragonegg.name","",""
"Scripts/Content/bumshak.d:9818","Das Ei ist warm und von innen","Das Ei ist warm und von innen","","","itmi_dragonegg.text","",""
"Scripts/Content/bumshak.d:9819","hört man leises Kratzen.","hört man leises Kratzen.","","","itmi_dragonegg.text[1]","",""
"Scripts/Content/bumshak.d:9823","Statue","Statue","","","itmi_schatz.name","",""
"Scripts/Content/bumshak.d:9833","Talisman","Talisman","","","itmi_frostguard.name","",""
"Scripts/Content/bumshak.d:9842","Dieser Talisman schützt seinen","Dieser Talisman schützt seinen","","","itmi_frostguard.text","",""
"Scripts/Content/bumshak.d:9843","Träger vor den Kräften des","Träger vor den Kräften des","","","itmi_frostguard.text[1]","",""
"Scripts/Content/bumshak.d:9844","kalten Todes.","kalten Todes.","","","itmi_frostguard.text[2]","",""
"Scripts/Content/bumshak.d:9849","Goldbrocken","Goldbrocken","","","itmi_bakgld.name","",""
"Scripts/Content/bumshak.d:9859","Hochzeitsgeschenk","Hochzeitsgeschenk","","","itmi_bakka.name","",""
"Scripts/Content/bumshak.d:9872","DrachtNakk","DrachtNakk","","","itmw_2h_schamanenstab.name","",""
"Scripts/Content/bumshak.d:9892","Kush BrabakFacht","Kush BrabakFacht","","","itmw_2h_ahnenaxt.name","",""
"Scripts/Content/bumshak.d:9904","Schaden:","Schaden:","","","itmw_2h_ahnenaxt.text[2]","",""
"Scripts/Content/bumshak.d:9905","VIEL SCHADEN!!!","VIEL SCHADEN!!!","","","itmw_2h_ahnenaxt.text[3]","",""
"Scripts/Content/bumshak.d:9906","Wert:","Wert:","","","itmw_2h_ahnenaxt.text[4]","",""
"Scripts/Content/bumshak.d:9907","Unbezahlbar","Unbezahlbar","","","itmw_2h_ahnenaxt.text[5]","",""
"Scripts/Content/bumshak.d:9911","Rune der Ahnen","Rune der Ahnen","","","itru_ahnenrune.name","",""
"Scripts/Content/bumshak.d:9962","Mana Essenz","Mana Essenz","","","itpo_mana_01.description","",""
"Scripts/Content/bumshak.d:9982","Mana Extrakt","Mana Extrakt","","","itpo_mana_02.description","",""
"Scripts/Content/bumshak.d:10002","Mana Elixier","Mana Elixier","","","itpo_mana_03.description","",""
"Scripts/Content/bumshak.d:10022","Reines Mana","Reines Mana","","","itpo_mana_addon_04.description","",""
"Scripts/Content/bumshak.d:10023","Vollständige Mana - Regeneration","Vollständige Mana - Regeneration","","","itpo_mana_addon_04.text[1]","",""
"Scripts/Content/bumshak.d:10041","Essenz der Heilung","Essenz der Heilung","","","itpo_health_01.description","",""
"Scripts/Content/bumshak.d:10061","Extrakt der Heilung","Extrakt der Heilung","","","itpo_health_02.description","",""
"Scripts/Content/bumshak.d:10081","Elixier der Heilung","Elixier der Heilung","","","itpo_health_03.description","",""
"Scripts/Content/bumshak.d:10101","Reine Lebensenergie","Reine Lebensenergie","","","itpo_health_addon_04.description","",""
"Scripts/Content/bumshak.d:10102","Vollständige Regeneration","Vollständige Regeneration","","","itpo_health_addon_04.text[1]","",""
"Scripts/Content/bumshak.d:10114","Bolzen","Bolzen","","","itrw_bolt.name","",""
"Scripts/Content/bumshak.d:10124","Pfeil","Pfeil","","","itrw_arrow.name","",""
"Scripts/Content/bumshak.d:10134","Armbrust","Armbrust","","","itrw_crossbow.name","",""
"Scripts/Content/bumshak.d:10152","Paladin Zauber","Paladin Zauber","","","name_paladinspell","",""
"Scripts/Content/bumshak.d:10518","Die wandernden Knochen","Die wandernden Knochen","","","itru_sumgobskel.text[2]","",""
"Scripts/Content/bumshak.d:10519","der toten Goblins","der toten Goblins","","","itru_sumgobskel.text[3]","",""
"Scripts/Content/bumshak.d:11097","Deathbolt","Deathbolt","","","itru_deathbolt.description","",""
"Scripts/Content/bumshak.d:11119","Deathball","Deathball","","","itru_deathball.description","",""
"Scripts/Content/bumshak.d:11141","Concussionbolt","Concussionbolt","","","itru_concussionbolt.description","",""
"Scripts/Content/bumshak.d:11429","Paladin Zauber","Paladin Zauber","","","name_paladinscroll","",""
