"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/bumshak.d:4346","Für den König!","Für den König!","","","SVM_1_MILGreetings","",""
"Scripts/Content/bumshak.d:4347","Für Innos!","Für Innos!","","","SVM_1_PALGreetings","",""
"Scripts/Content/bumshak.d:4348","So ein Mistwetter!","So ein Mistwetter!","","","SVM_1_Weather","",""
"Scripts/Content/bumshak.d:4349","Krieg ich dich DOCH noch!","Krieg ich dich DOCH noch!","","","SVM_1_IGetYouStill","",""
"Scripts/Content/bumshak.d:4350","Jetzt bist du dran!","Jetzt bist du dran!","","","SVM_1_DieEnemy","",""
"Scripts/Content/bumshak.d:4351","Da ist wieder eins von diesen Drecksviechern!","Da ist wieder eins von diesen Drecksviechern!","","","SVM_1_DieMonster","",""
"Scripts/Content/bumshak.d:4352","Na warte, du dreckiger Dieb!","Na warte, du dreckiger Dieb!","","","SVM_1_DirtyThief","",""
"Scripts/Content/bumshak.d:4353","Finger weg da!","Finger weg da!","","","SVM_1_HandsOff","",""
"Scripts/Content/bumshak.d:4354","Der Mistkerl schlachtet unsere Schafe!","Der Mistkerl schlachtet unsere Schafe!","","","SVM_1_SheepKiller","",""
"Scripts/Content/bumshak.d:4355","Das verdammte Mistvieh frisst unsere Schafe!","Das verdammte Mistvieh frisst unsere Schafe!","","","SVM_1_SheepKillerMonster","",""
"Scripts/Content/bumshak.d:4356","Mörder!","Mörder!","","","SVM_1_YouMurderer","",""
"Scripts/Content/bumshak.d:4357","Hier kommen keine Viecher rein!","Hier kommen keine Viecher rein!","","","SVM_1_DieStupidBeast","",""
"Scripts/Content/bumshak.d:4358","Na warte, du Mistkerl!","Na warte, du Mistkerl!","","","SVM_1_YouDareHitMe","",""
"Scripts/Content/bumshak.d:4359","Du hast es so gewollt!","Du hast es so gewollt!","","","SVM_1_YouAskedForIt","",""
"Scripts/Content/bumshak.d:4360","Dann muss ich dich eben rausprügeln!","Dann muss ich dich eben rausprügeln!","","","SVM_1_ThenIBeatYouOutOfHere","",""
"Scripts/Content/bumshak.d:4361","Was hattest DU denn da drin zu suchen, he!?","Was hattest DU denn da drin zu suchen, he!?","","","SVM_1_WhatDidYouDoInThere","",""
"Scripts/Content/bumshak.d:4362","Wollt ihr wohl damit aufhören!?","Wollt ihr wohl damit aufhören!?","","","SVM_1_WillYouStopFighting","",""
"Scripts/Content/bumshak.d:4363","Stirb, Mistkerl!","Stirb, Mistkerl!","","","SVM_1_KillEnemy","",""
"Scripts/Content/bumshak.d:4364","Das war's für dich, Penner.","Das war's für dich, Penner.","","","SVM_1_EnemyKilled","",""
"Scripts/Content/bumshak.d:4365","Ein Mistvieh weniger!","Ein Mistvieh weniger!","","","SVM_1_MonsterKilled","",""
"Scripts/Content/bumshak.d:4366","Versuch nie wieder, mich zu bestehlen!","Versuch nie wieder, mich zu bestehlen!","","","SVM_1_ThiefDown","",""
"Scripts/Content/bumshak.d:4367","Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!","Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!","","","SVM_1_rumfummlerDown","",""
"Scripts/Content/bumshak.d:4368","Tu das nie wieder! Das sind unsere Schafe!","Tu das nie wieder! Das sind unsere Schafe!","","","SVM_1_SheepAttackerDown","",""
"Scripts/Content/bumshak.d:4369","Stirb, Mörder!","Stirb, Mörder!","","","SVM_1_KillMurderer","",""
"Scripts/Content/bumshak.d:4370","So ein saublödes Vieh!","So ein saublödes Vieh!","","","SVM_1_StupidBeastKilled","",""
"Scripts/Content/bumshak.d:4371","Leg dich nie wieder mit mir an!","Leg dich nie wieder mit mir an!","","","SVM_1_NeverHitMeAgain","",""
"Scripts/Content/bumshak.d:4372","Du hättest auf mich hören sollen!","Du hättest auf mich hören sollen!","","","SVM_1_YouBetterShouldHaveListened","",""
"Scripts/Content/bumshak.d:4373","Und jetzt mach, dass du hier rauskommst!","Und jetzt mach, dass du hier rauskommst!","","","SVM_1_GetUpAndBeGone","",""
"Scripts/Content/bumshak.d:4374","Und dass ich dich nie wieder da drin erwische!","Und dass ich dich nie wieder da drin erwische!","","","SVM_1_NeverEnterRoomAgain","",""
"Scripts/Content/bumshak.d:4375","Hier wird nicht gekämpft, klar!? Lass dir das eine Lehre sein!","Hier wird nicht gekämpft, klar!? Lass dir das eine Lehre sein!","","","SVM_1_ThereIsNoFightingHere","",""
"Scripts/Content/bumshak.d:4376","Lass mich bloß in Ruhe!","Lass mich bloß in Ruhe!","","","SVM_1_SpareMe","",""
"Scripts/Content/bumshak.d:4377","Scheiße! Nichts wie weg!","Scheiße! Nichts wie weg!","","","SVM_1_RunAway","",""
"Scripts/Content/bumshak.d:4378","ALARM!","ALARM!","","","SVM_1_Alarm","",""
"Scripts/Content/bumshak.d:4379","WACHE!","WACHE!","","","SVM_1_Guards","",""
"Scripts/Content/bumshak.d:4380","Hilfe!","Hilfe!","","","SVM_1_Help","",""
"Scripts/Content/bumshak.d:4381","(ruft zu) Gut gemacht - ein Drecksvieh weniger!","(ruft zu) Gut gemacht - ein Drecksvieh weniger!","","","SVM_1_GoodMonsterKill","",""
