"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/bumshak.d:28373","Zeg uw Gebeden. U zult nu sterven.","Zeg uw mieć. U zult nu ginąć..","","","DIA_DJG_322_Orkjaeger_18_00","",""
"Scripts/Content/bumshak.d:28374","Halt. Langsam. Ich komme aus den Bergen von Khalod-Nur und nicht aus den Steppen von Fahlan-Dur. Du sprichst den falschen Dialekt.","Stój. Powoli. Pochodzę z gór Khalod-Nur a nie ze stepów Fahlan-Dur. Mówisz w złym dialekcie.","","","DIA_DJG_322_Orkjaeger_18_01","",""
"Scripts/Content/bumshak.d:28375","(Verwirrt) Was? Ach so. Ich leider sprechen Dialekt Berg schlecht.","(Zmieszany) Co? A... tak. Ja mówić dialekt góry nie za dobrze.","","","DIA_DJG_322_Orkjaeger_18_02","",""
"Scripts/Content/bumshak.d:28376","Ich verfolgen Dich schon lange. Ich viel Geld bekommen für deinen Kopf. Du jetzt müssen sterben.","Ja ścigać Ciebie już długo. Ja otrzymać wiele pieniędzy za twoja głowa. Ty teraz umrzeć.","","","DIA_DJG_322_Orkjaeger_18_03","",""
"Scripts/Content/bumshak.d:28406","Hey du, Hexe.","Hej ty, wiedźmo.","","","dia_none_1001_hexe.description","",""
"Scripts/Content/bumshak.d:28414","Hey du, Hexe.","Hej ty, wiedźmo.","","","DIA_NONE_1001_Hexe_17_00","",""
"Scripts/Content/bumshak.d:28415","Aaah (kreischt erschrocken)! Wo kommst du plötzlich her? Bitte verschone mich. Ich kann dir helfen!","Aaah (krzyczy przestraszona)! Dlaczego tu przyszedłeś? Proszę, oszczędź mnie. Mogę ci pomóc!","","","DIA_NONE_1001_Hexe_17_01","",""
"Scripts/Content/bumshak.d:28417","Zeit zu sterben, Hexe!","Czas umierać, wiedźmo!","","","dia_none_1001_hexe.dia_none_1001_hexe_no","Info_AddChoice",""
"Scripts/Content/bumshak.d:28418","Na gut. Ich werde dich verschonen. Was kannst du für mich tun?","No dobra. Oszczędzę cię. Co możesz dla mnie zrobić?","","","dia_none_1001_hexe.dia_none_1001_hexe_yes","Info_AddChoice",""
"Scripts/Content/bumshak.d:28422","Na gut. Ich werde dich verschonen. Was kannst du für mich tun?","No dobra. Oszczędzę cię. Co możesz dla mnie zrobić?","","","DIA_NONE_1001_Hexe_17_02","",""
"Scripts/Content/bumshak.d:28423","Danke, edler Ork Ritter. Ich schenke dir diesen Talisman. Er wird dich vor den Kräften des kalten Todes bewahren. Lebe wohl.","Dziękuję szlachetny orku. Weź ten amulet. On cię uchroni przed mrozem. Niech ci się dobrze wiedzie.","","","DIA_NONE_1001_Hexe_17_03","",""
"Scripts/Content/bumshak.d:28434","Zeit zu sterben, Hexe!","Czas umierać, wiedźmo!","","","DIA_NONE_1001_Hexe_17_04","",""
"Scripts/Content/bumshak.d:28435","NEIN!!!","NIE!!!","","","DIA_NONE_1001_Hexe_17_05","",""
"Scripts/Content/bumshak.d:28468","(Du hast das Gefühl, dass es besser wäre, den Drachen nicht zu stören.)","(Masz przeczucie, że lepiej byłoby nie przeszkadzać smokowi.)","","","dia_none_100_tarokhan.description","",""
"Scripts/Content/bumshak.d:28500","Sei gegrüßt, Ork. Ich habe einen wichtigen Auftrag für dich.","Bądź pozdrowiony, orku. Mam dla ciebie ważne zadanie.","","","DIA_NONE_100_Tarokhan_20_00","",""
"Scripts/Content/bumshak.d:28501","Alle meine Brüder hier im Minental wurden von den Menschen erschlagen. Aber es kommt noch schlimmer.","Wszyscy moi bracia w Górniczej Dolinie zostali zabici przez ludzi. Jednak jest coś gorszego.","","","DIA_NONE_100_Tarokhan_20_01","",""
"Scripts/Content/bumshak.d:28502","Die Menschen haben rausgefunden, dass sie aus unseren Eiern einen mächtigen Trank brauen können.","Ludzie z zewnątrz odkryli, że mogą warzyć z naszych jaj potężny napój.","","","DIA_NONE_100_Tarokhan_20_02","",""
"Scripts/Content/bumshak.d:28503","Viele Drachenjäger strömen nun ins Minental und stehlen die Brut meiner gefallenen Brüder. Töte sie und bringe mir die drei Eier.","Wielu Łowców Smoków przychodzi teraz do doliny i kradnie jaja moich poległych braci. Uratuj ich potomstwo.","","","DIA_NONE_100_Tarokhan_20_03","",""
"Scripts/Content/bumshak.d:28504","Suche im Sumpf, in den Felsen hoch auf dem Berg und in der alten Bergfestung.","Szukaj na bagnie, w skałach na górze i w starej górskiej twierdzy.","","","DIA_NONE_100_Tarokhan_20_04","",""
"Scripts/Content/bumshak.d:28505","Die Brut im Eisgebiet ist schon verloren. Dort wirst du nichts finden.","Jaja w gnieździe pośród lodu są już zgubione. Nic tam nie znajdziesz.","","","DIA_NONE_100_Tarokhan_20_05","",""
"Scripts/Content/bumshak.d:28506","Und nun entferne dich. Ich werde dich reich belohnen.","Idź już. Wynagrodzę cię jak wrócisz.","","","DIA_NONE_100_Tarokhan_20_06","",""
"Scripts/Content/bumshak.d:28520","Ich bringe dir die Eier.","Przyniosłem jaja.","","","dia_none_100_tarokhan_mission3_solve.description","",""
"Scripts/Content/bumshak.d:28531","Ich bringe dir die Eier, weiser Tarokhan.","Przyniosłem jaja, wszechmocny Tarokhanie.","","","DIA_NONE_100_Tarokhan_20_07","",""
"Scripts/Content/bumshak.d:28532","Hmmm. Ich wusste, dass du mich nicht enttäuschen wirst, Ork.","HHmm. Wiedziałem, że mnie nie rozczarujesz orku.","","","DIA_NONE_100_Tarokhan_20_08","",""
"Scripts/Content/bumshak.d:28533","Und nun entferne dich. Ich werde dich später entlohnen.","Oddal się teraz. Wynagrodzę cię później.","","","DIA_NONE_100_Tarokhan_20_09","",""
"Scripts/Content/bumshak.d:28559","Sei gegrüßt, Ork. Jetzt wo ich dich sehe, erinnere ich mich, dass ich dir eine Belohnung versprochen hatte.","Bądź pozdrowiony orku. Przypomniałem sobie, że mam dla ciebie nagrodę.","","","DIA_NONE_100_Tarokhan_20_10","",""
"Scripts/Content/bumshak.d:28560","Nun gut. Ich werde dir den Weg zur einer mächtigen Axt weisen. Sie wurde von deinen Ahnen vor hunderten von Jahren geschmiedet.","Wskażę ci teraz drogę do potężnego topora. Został wykuty przez twoich przodków setki lat temu.","","","DIA_NONE_100_Tarokhan_20_11","",""
"Scripts/Content/bumshak.d:28561","Sie wird deine Feinde mit einem einzigen Streich niederstrecken. Ich gebe dir aber nur einen Hinweis: Suche dort, wo du sonst nicht hinkommst.","Powali na ziemie twoich wrogów jednym ciosem. Dam ci tylko jedna wskazówkę: Szukaj tam gdzie jeszcze nie byłeś, a bardzo chciałbyś się dostać.","","","DIA_NONE_100_Tarokhan_20_12","",""
"Scripts/Content/bumshak.d:28562","Und nun entferne dich.","Odejdź teraz.","","","DIA_NONE_100_Tarokhan_20_13","",""
"Scripts/Content/bumshak.d:28578","Ich habe die Axt gefunden.","Znalazłem topór.","","","dia_none_100_tarokhan_mission7_solve.description","",""
"Scripts/Content/bumshak.d:28589","Ich habe die Axt gefunden, weiser Tarokhan.","Znalazłem topór, wszechmocny Tarokhanie.","","","DIA_NONE_100_Tarokhan_20_14","",""
"Scripts/Content/bumshak.d:28590","Hmmm. Damit bist du mächtiger als die meisten deines Volkes. Setze sie weise ein.","Hmm. Jesteś teraz najpotężniejszy z twojego ludu. Używaj go mądrze.","","","DIA_NONE_100_Tarokhan_20_15","",""
"Scripts/Content/bumshak.d:28591","Und nun entferne dich.","Teraz odejdź.","","","DIA_NONE_100_Tarokhan_20_16","",""
"Scripts/Content/bumshak.d:28623","Großer Ur-Shak. Es ist mir eine Ehre.","Czcigodny Ur-Shaku. To dla mnie honor.","","","dia_orc_101_urshak.description","",""
"Scripts/Content/bumshak.d:28631","Großer Ur-Shak. Es ist mir eine Ehre, an eurer Seite kämpfen zu dürfen.","Czcigodny Ur-Shaku. To dla mnie honor, móc walczyć w waszej sprawie.","","","DIA_ORC_101_Urshak_18_00","",""
"Scripts/Content/bumshak.d:28632","Heute ist ein großer Tag für uns alle, Elite. Die Burg ist endlich gefallen und Hosh-Paks Tod ist gesühnt worden.","Dziś jest dla nas wszystkich wielki dzień, elito. Zamek w końcu upadł a śmierć Hosh-Paka została zadość uczyniona.","","","DIA_ORC_101_Urshak_18_01","",""
"Scripts/Content/bumshak.d:28633","Aber noch ist deine Arbeit nicht getan. Der Vorstand der Paladine ist geflohen und auf dem Weg zum Pass nach Khorinis.","Ale twoje zadanie jeszcze nie dobiegło końca. Dowódcy paladynów żyją i zmierzają w kierunku przejścia do Khorinis.","","","DIA_ORC_101_Urshak_18_02","",""
"Scripts/Content/bumshak.d:28634","Verfolge ihn und bringe ihn zur Strecke. Wenn du triumphierst, werde ich dich zum Orkischen Kriegsherren ernennen.","Udaj się tam czym prędzej i przetnij im drogę. Gdy zwyciężysz nadam ci tytuł Herszta.","","","DIA_ORC_101_Urshak_18_03","",""
"Scripts/Content/bumshak.d:28635","Möge dich die Weisheit unserer Ahnen leiten.","Niech cię prowadzi mądrość naszych przodków.","","","DIA_ORC_101_Urshak_18_04","",""
"Scripts/Content/bumshak.d:28655","Ich habe den Vorstand der Paladine erschlagen.","Zabiłem dowódców paladynów.","","","dia_orc_101_urshak_solve.description","",""
"Scripts/Content/bumshak.d:28666","Ich habe den Vorstand der Paladine erschlagen.","Zabiłem dowódców paladynów.","","","DIA_ORC_101_Urshak_18_05","",""
"Scripts/Content/bumshak.d:28667","Du erfüllst uns alle mit Stolz. Dann soll es so sein: Ich ernenne dich hiermit zum Orkischen Kriegsherr.","Wykonując te wszystkie zadania okryłeś się chwałą. Niniejszym nadaje ci tytuł: Herszta.","","","DIA_ORC_101_Urshak_18_06","",""
"Scripts/Content/bumshak.d:28668","Desweiteren erteile ich dir die Befehlsgewalt über die Burg. Möge sie nie wieder in Menschenhand fallen.","Oddaje też w twoje ręce dowództwo nad zamkiem. Oby trwał pod twoją komendą i nigdy nie powrócił w ręce ludzkie","","","DIA_ORC_101_Urshak_18_07","",""
"Scripts/Content/bumshak.d:28684","Für die Horde, Ur-Shak.","Za Hordę.","","","dia_orc_101_urshak_mission1.description","",""
"Scripts/Content/bumshak.d:28695","Für die Horde, Ur-Shak.","Za Hordę.","","","DIA_ORC_101_Urshak_18_08","",""
"Scripts/Content/bumshak.d:28696","Für die Horde, Bumshak.","Za Hordę, Bumshaku.","","","DIA_ORC_101_Urshak_18_09","",""
"Scripts/Content/bumshak.d:28697","Es läuft gut für uns im Minental. Die Ritter und Drachenjäger fliehen ins Umland und die Truppen in Khorinis sind zu schwach für einen Gegenschlag.","W Górniczej Dolinie zapanowała bardzo pomyślna dla nas sytuacja. Rycerze i Łowcy smoków rozproszyli się po okolicy a oddziały z Khorinis są za słabe aby przepuścić kontratak.","","","DIA_ORC_101_Urshak_18_10","",""
"Scripts/Content/bumshak.d:28698","Außerdem hat sich der Feuerdrache Tarokhan in der Burg niedergelassen. Er will seine toten Brüder rächen und wird uns eine große Hilfe im Kampf sein.","Poza tym ognisty smok Tarokhan  osiadł w zamku, chce pomścić śmierć swoich braci. To dla nas bardzo pomyślna wiadomość.","","","DIA_ORC_101_Urshak_18_11","",""
"Scripts/Content/bumshak.d:28699","Aber es gibt noch viel zu tun. Ein Dieb in den eigenen Reihen macht uns schwer zu schaffen.","Jednak jest jeszcze dużo do zrobienia. Mamy złodzieja w swoich własnych szeregach.","","","DIA_ORC_101_Urshak_18_12","",""
"Scripts/Content/bumshak.d:28700","Jede Nacht verschwinden große Mengen an Nahrung aus unserem Lager in der Kapelle.","Duże ilości jedzenia znikają w nocy z magazynu w kaplicy.","","","DIA_ORC_101_Urshak_18_13","",""
"Scripts/Content/bumshak.d:28701","Am besten du schläfst bis Mitternacht und lauerst dem Dieb hinter den Kisten zwischen Haupthaus und Kapelle auf.","Zaczaisz się o północy wśród skrzyń między główną chatą a kaplicą.","","","DIA_ORC_101_Urshak_18_14","",""
"Scripts/Content/bumshak.d:28702","Hier hast du ein Schlummerfell. Damit kannst du hier in der Burg in den Haupthäusern übernachten.","Masz tu futro do spania. Będziesz mógł się na nim przespać.","","","DIA_ORC_101_Urshak_18_15","",""
"Scripts/Content/bumshak.d:28703","Erstatte mir Meldung, wenn du den Dieb ertappt hast. Stelle ihn aber erst zur Rede, wenn er sich im Lager befindet.","Powiedz mi gdy uda ci się go złapać. Będziesz mógł mu coś udowodnić dopiero gdy złapiesz go w magazynie.","","","DIA_ORC_101_Urshak_18_16","",""
