"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/bumshak.d:28373","Zeg uw Gebeden. U zult nu sterven.","Зег ув маю. Ти не помреш.","","False","DIA_DJG_322_Orkjaeger_18_00","",""
"Scripts/Content/bumshak.d:28374","Halt. Langsam. Ich komme aus den Bergen von Khalod-Nur und nicht aus den Steppen von Fahlan-Dur. Du sprichst den falschen Dialekt.","Стій. Поволі. Я родом з гір Халод-Нур, а не зі степів Фахлан-Дур. Ти говориш не тим діалектом.","","False","DIA_DJG_322_Orkjaeger_18_01","",""
"Scripts/Content/bumshak.d:28375","(Verwirrt) Was? Ach so. Ich leider sprechen Dialekt Berg schlecht.","(Розгублено)Шо?А... Так. Я не дуже добре розмовляю гірським діалектом.","","False","DIA_DJG_322_Orkjaeger_18_02","",""
"Scripts/Content/bumshak.d:28376","Ich verfolgen Dich schon lange. Ich viel Geld bekommen für deinen Kopf. Du jetzt müssen sterben.","Я переслідую тебе вже давно. За твою голову я отримаю багато золота. Тепер ти помреш.","","False","DIA_DJG_322_Orkjaeger_18_03","",""
"Scripts/Content/bumshak.d:28406","Hey du, Hexe.","Агов, відьмо.","","False","dia_none_1001_hexe.description","",""
"Scripts/Content/bumshak.d:28414","Hey du, Hexe.","Агов, відьмо.","","False","DIA_NONE_1001_Hexe_17_00","",""
"Scripts/Content/bumshak.d:28415","Aaah (kreischt erschrocken)! Wo kommst du plötzlich her? Bitte verschone mich. Ich kann dir helfen!","Аааа! (перелякано кричить) Для чого ти прийшов сюди? Будь ласка, помилуй мене. Я можу тобі допомогти!","","False","DIA_NONE_1001_Hexe_17_01","",""
"Scripts/Content/bumshak.d:28417","Zeit zu sterben, Hexe!","Час помирати, відьмо!","","False","dia_none_1001_hexe.dia_none_1001_hexe_no","Info_AddChoice",""
"Scripts/Content/bumshak.d:28418","Na gut. Ich werde dich verschonen. Was kannst du für mich tun?","Добре. Пожалію тебе. Що ти можеш для мене зробити?","","False","dia_none_1001_hexe.dia_none_1001_hexe_yes","Info_AddChoice",""
"Scripts/Content/bumshak.d:28422","Na gut. Ich werde dich verschonen. Was kannst du für mich tun?","Добре. Пожалію тебе. Що ти можеш для мене зробити?","","False","DIA_NONE_1001_Hexe_17_02","",""
"Scripts/Content/bumshak.d:28423","Danke, edler Ork Ritter. Ich schenke dir diesen Talisman. Er wird dich vor den Kräften des kalten Todes bewahren. Lebe wohl.","Дякую, шляхетний орку. Я дарую тобі цей амулет. Він захистить тебе від сил холодної смерті. Прощавай.","","False","DIA_NONE_1001_Hexe_17_03","",""
"Scripts/Content/bumshak.d:28434","Zeit zu sterben, Hexe!","Час помирати, відьмо!","","False","DIA_NONE_1001_Hexe_17_04","",""
"Scripts/Content/bumshak.d:28435","NEIN!!!","Нііі!!!","","False","DIA_NONE_1001_Hexe_17_05","",""
