"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/bumshak.d:8416","Die Burg im Minental","Замок у Міненталі","","False","nurshak_mission","",""
"Scripts/Content/bumshak.d:8417","Ich habe den Kriegsherren Nur-Shak vor der Burg getroffen. Meine Brüder planen tatsächlich den Sturm auf die Burg. Aber vorher muss ich Nur-Shak noch die Ringe der drei anderen Kriegsherren bringen. Sie sind ein Symbol für ihre Bereitschaft zur Schlacht.","Перед замком я зустрівся з воєначальником Нур-Шаком. Мої брати справді планують штурмувати замок. Але спершу я маю принести Нур-Шаку персні трьох інших воєначальників. Вони символізують їхню готовність до бою.","","False","nurshak_mission_1","",""
"Scripts/Content/bumshak.d:8418","Ich finde die Kriegsherren Tum-Pak, Durkash und Farrok bei ihren Truppen rund um die Burg. Ich erkenne sie an ihren Äxten. Ja klar.","Я знайду ватажків Тум-Пака, Дуркаша і Фаррока біля замку разом з їхніми військами. Я впізнаю їх по сокирах... Вже бачу.","","False","nurshak_mission_2","",""
"Scripts/Content/bumshak.d:8419","Ich habe Nur-Shak die drei Ringe der Kriegsherren gebracht. Er hat mich zur Elite befördert. Der Sturm auf die Burg kann nun beginnen.","Я приніс Нур-Шаку три персні ватажків і він підвищив мене до рангу Елітного воїна. Ми можемо починати штурм замку.","","False","nurshak_mission_3","",""
"Scripts/Content/bumshak.d:8420","Tum-Pak hat mir seinen Ring gegeben.","Тум-Пак дав мені свій перстень.","","False","nurshak_mission_4","",""
"Scripts/Content/bumshak.d:8421","Durkash hat mir seinen Ring gegeben.","Дуркаш дав мені свій перстень.","","False","nurshak_mission_5","",""
"Scripts/Content/bumshak.d:8422","Farrok hat mir seinen Ring gegeben.","Фаррок дав мені свій перстень.","","False","nurshak_mission_6","",""
"Scripts/Content/bumshak.d:8423","Farrok hat mir seinen Ring gegeben.","Фаррок дав мені свій перстень.","","False","nurshak_mission_7","",""
"Scripts/Content/bumshak.d:8424","Ich soll zur Burg der Menschen aufbrechen. Angeblich steht der Sturm kurz bevor. Dort soll ich mich beim Kriegsherren Nur-Shak melden. Er steht genau vor dem Tor der Burg. Ich erkenne ihn an der Axt.","Потрібно дістатися до замку людей. Штурм замку ось-ось почнеться. Я маю з'явитися до ватажка Нур-Шака, який стоїть якраз навпроти головних воріт замку. Я впізнаю його по сокирі.","","False","nurshak_mission_8","",""
"Scripts/Content/bumshak.d:8426","Rohes Fleisch","Сире м'ясо","","False","narkash_mission1","",""
"Scripts/Content/bumshak.d:8427","Narkash hat mich beauftragt, zehn mal rohes Fleisch zu beschaffen. In der Nähe treiben sich Beisser rum, die köstliches Fleisch haben.","Наркаш доручив мені дістати десять шматків сирого м'яса. В околицях є кілька смачних м'ясистих звірів.","","False","narkash_mission1_1","",""
"Scripts/Content/bumshak.d:8428","Ich habe die Beisser getötet und die Horde mit Fleisch versorgt.","Я вбив кусачів і забезпечив м'ясо в Орді.","","False","narkash_mission1_2","",""
"Scripts/Content/bumshak.d:8430","Zutaten","Інгредієнти","","False","narkash_mission2","",""
"Scripts/Content/bumshak.d:8431","Narkash hat mich beauftragt, zehn Heilpflanzen für den Schamanen zu beschaffen. Narkash riet mir, entlang der Palisade zu suchen. Für die Horde!","Наркаш доручив мені принести шаману 10 лікарських трав. Порадив пошукати вздовж частоколу. За Орду!","","False","narkash_mission2_1","",""
"Scripts/Content/bumshak.d:8432","Narkash hat mich beauftragt, zehn Heilpflanzen für den Schamanen zu beschaffen. Narkash riet mir, entlang der Palisade zu suchen. Sowas blödes! Ich bin doch nicht zum Kräutersammeln da. Ich will Menschenschädel spalten.","Наркаш доручив мені принести шаману десять лікарських трав. Він порадив мені пошукати вздовж частоколу. Дурень! Я тут не трави збирати прийшов. Я хочу розколювати людські черепи.","","False","narkash_mission2_2","",""
